domes,variant,eye_height_m,observer,visible_ground_cells,visible_cells,baseline_visible,agreement_ground_pct,agreement_vs_baseline_pct,jaccard_vs_baseline
False,bare,1.5,1,415,536,568,98.76,98.37,0.897
False,bare,1.5,2,494,668,709,97.07,97.19,0.861
False,bare,1.5,3,320,411,460,98.08,98.18,0.857
False,bare,1.75,1,437,565,568,99.14,98.72,0.92
False,bare,1.75,2,513,692,709,97.11,97.25,0.866
False,bare,1.75,3,345,439,460,98.65,98.61,0.893
False,doorless,1.5,1,510,829,568,95.34,91.37,0.63
False,doorless,1.5,2,530,862,709,95.87,92.35,0.697
False,doorless,1.5,3,357,560,460,96.69,94.34,0.661
False,doorless,1.75,1,543,875,568,95.23,90.99,0.627
False,doorless,1.75,2,559,906,709,95.53,91.8,0.686
False,doorless,1.75,3,392,600,460,96.88,94.44,0.677
False,apertured,1.5,1,510,829,568,95.34,91.37,0.63
False,apertured,1.5,2,530,862,709,95.87,92.35,0.697
False,apertured,1.5,3,357,560,460,96.69,94.34,0.661
False,apertured,1.75,1,543,875,568,95.23,90.99,0.627
False,apertured,1.75,2,559,906,709,95.53,91.8,0.686
False,apertured,1.75,3,392,600,460,96.88,94.44,0.677
True,bare,1.5,1,415,534,568,98.76,98.31,0.893
True,bare,1.5,2,494,664,709,97.07,97.19,0.86
True,bare,1.5,3,320,407,460,98.08,98.07,0.849
True,bare,1.75,1,437,563,568,99.14,98.67,0.917
True,bare,1.75,2,513,688,709,97.11,97.25,0.865
True,bare,1.75,3,345,435,460,98.65,98.5,0.884
True,doorless,1.5,1,510,829,568,95.34,91.37,0.63
True,doorless,1.5,2,530,859,709,95.87,92.37,0.697
True,doorless,1.5,3,357,556,460,96.69,94.34,0.66
True,doorless,1.75,1,543,875,568,95.23,90.99,0.627
True,doorless,1.75,2,559,904,709,95.53,91.86,0.687
True,doorless,1.75,3,392,596,460,96.88,94.44,0.676
True,apertured,1.5,1,510,829,568,95.34,91.37,0.63
True,apertured,1.5,2,530,859,709,95.87,92.37,0.697
True,apertured,1.5,3,357,556,460,96.69,94.34,0.66
True,apertured,1.75,1,543,875,568,95.23,90.99,0.627
True,apertured,1.75,2,559,904,709,95.53,91.86,0.687
True,apertured,1.75,3,392,596,460,96.88,94.44,0.676
