domes,variant,eye_height_m,observer,visible_ground_cells,visible_cells,baseline_visible,agreement_ground_pct,agreement_vs_baseline_pct,jaccard_vs_baseline
False,bare,1.5,1,415,536,568,98.76,98.37,0.897
False,bare,1.5,2,494,668,709,97.07,97.19,0.861
False,bare,1.5,3,320,411,460,98.08,98.18,0.857
False,bare,1.75,1,437,565,568,99.14,98.72,0.92
False,bare,1.75,2,513,692,709,97.11,97.25,0.866
False,bare,1.75,3,345,439,460,98.65,98.61,0.893
False,doorless,1.5,1,510,837,568,95.34,91.15,0.624
False,doorless,1.5,2,530,862,709,95.87,92.35,0.697
False,doorless,1.5,3,365,573,460,96.39,93.98,0.648
False,doorless,1.75,1,543,883,568,95.23,90.77,0.621
False,doorless,1.75,2,559,906,709,95.53,91.8,0.686
False,doorless,1.75,3,401,614,460,96.54,94.06,0.663
False,apertured,1.5,1,510,837,568,95.34,91.15,0.624
False,apertured,1.5,2,530,862,709,95.87,92.35,0.697
False,apertured,1.5,3,365,573,460,96.39,93.98,0.648
False,apertured,1.75,1,543,883,568,95.23,90.77,0.621
False,apertured,1.75,2,559,906,709,95.53,91.8,0.686
False,apertured,1.75,3,401,614,460,96.54,94.06,0.663
True,bare,1.5,1,415,534,568,98.76,98.31,0.893
True,bare,1.5,2,494,664,709,97.07,97.19,0.86
True,bare,1.5,3,320,407,460,98.08,98.07,0.849
True,bare,1.75,1,437,563,568,99.14,98.67,0.917
True,bare,1.75,2,513,688,709,97.11,97.25,0.865
True,bare,1.75,3,345,435,460,98.65,98.5,0.884
True,doorless,1.5,1,510,837,568,95.34,91.15,0.624
True,doorless,1.5,2,530,859,709,95.87,92.37,0.697
True,doorless,1.5,3,365,569,460,96.39,93.98,0.646
True,doorless,1.75,1,543,883,568,95.23,90.77,0.621
True,doorless,1.75,2,559,904,709,95.53,91.86,0.687
True,doorless,1.75,3,401,610,460,96.54,94.06,0.661
True,apertured,1.5,1,510,837,568,95.34,91.15,0.624
True,apertured,1.5,2,530,859,709,95.87,92.37,0.697
True,apertured,1.5,3,365,569,460,96.39,93.98,0.646
True,apertured,1.75,1,543,883,568,95.23,90.77,0.621
True,apertured,1.75,2,559,904,709,95.53,91.86,0.687
True,apertured,1.75,3,401,610,460,96.54,94.06,0.661
