ID,entrance_direction,direction_source,direction_page,doors,windows,niches,apses,wall_thickness_m,thickness_source,thickness_conf,has_dome,dome_source,painted_scenes,painting_anchor_rows,modelled
1,S,report,93,1,0,0,0,0.35,cad,high,True,fallback,0,0,yes
2,S,report,93,1,0,0,0,0.17,report_type,med,False,,0,0,yes
3,S,report,94,1,0,0,0,0.17,report_type,med,False,,0,0,yes
4,S,report,94,1,0,0,0,0.315,type_cad,low,True,ortho,0,0,yes
5,S,report,94,1,0,0,0,0.17,report_type,med,False,,0,0,yes
6,S,xlsx,,1,0,0,0,0.17,report_type,med,False,,0,0,yes
7,S,report,105,1,0,8,0,0.315,type_cad,low,True,ortho,0,0,yes
8,S,xlsx,,1,0,0,0,0.17,report_type,med,False,,0,0,yes
9,S,report,106,1,0,3,0,0.405,type_cad,low,False,,0,0,yes
10,,,,0,0,0,0,0.39,site_default,low,False,,0,0,no
11,,,,0,0,0,0,0.17,report_type,med,False,,0,0,no
12,,,,0,0,0,0,0.17,report_type,med,False,,0,0,no
13,,,,0,0,0,0,0.17,report_type,med,False,,0,0,no
14,,,,0,0,0,0,0.17,report_type,med,False,,0,0,no
15,,,,0,0,0,0,0.17,report_type,med,False,,0,0,no
16,,,,0,0,0,0,0.315,type_cad,low,True,ortho,0,0,no
17,,,,0,0,0,0,0.315,type_cad,low,True,ortho,0,0,no
18,E,report,112,1,0,0,0,0.17,report_type,med,False,,0,0,yes
19,E,report,101,1,2,0,0,0.315,type_cad,low,True,ortho,0,0,yes
20,S,report,101,1,6,5,0,0.315,type_cad,low,True,ortho,0,0,yes
21,S,report,114,1,2,0,0,0.315,type_cad,low,True,ortho,0,0,yes
22,,,,0,0,0,0,0.17,report_type,med,False,,0,0,no
23,,,,1,0,1,0,0.39,cad,high,False,,0,0,yes
24,,,,1,1,1,0,0.405,type_cad,low,False,,0,0,yes
25,,,,1,0,3,0,0.42,cad,high,False,,0,0,yes
26,W,report,107,1,0,0,0,0.315,type_cad,low,True,fallback,0,0,yes
27,W,report,107,1,3,1,0,0.17,report_type,med,False,,0,0,yes
28,W,report,107,1,0,0,0,0.17,report_type,med,False,,0,0,yes
29,S,report,120,1,3,1,0,0.315,type_cad,low,True,ortho,0,0,yes
30,S,report,39,1,0,1,0,0.315,type_cad,low,True,ortho,17,26,yes
31,S,report,120,1,0,0,0,0.39,site_default,low,False,,0,0,yes
32,W,report,120,1,0,0,0,0.17,report_type,med,False,,0,0,yes
33,S,report,120,1,0,0,0,0.17,report_type,med,False,,0,0,yes
34,E,report,120,1,0,0,0,0.17,report_type,med,False,,0,0,yes
35,S,report,121,1,0,0,0,0.17,report_type,med,False,,0,0,yes
36,W,report,121,1,0,0,0,0.17,report_type,med,False,,0,0,yes
37,W,report,121,1,0,2,0,0.39,site_default,low,True,ortho,0,0,yes
38,W,report,121,1,0,1,0,0.17,report_type,med,False,,0,0,yes
39,,,,0,0,0,0,0.39,site_default,low,False,,0,0,no
