ID,type,wall_thickness_m,thickness_source,thickness_conf,n_probes,spread_m,notes
1,4,0.35,cad,high,3212,0.01,Building1.dxf
2,1,0.17,report_type,med,0,,Type 1 as defined in the report
3,1,0.17,report_type,med,0,,Type 1 as defined in the report
4,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
5,1,0.17,report_type,med,0,,Type 1 as defined in the report
6,1,0.17,report_type,med,0,,Type 1 as defined in the report
7,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
8,1,0.17,report_type,med,0,,Type 1 as defined in the report
9,8,0.405,type_cad,low,0,,median of 2 measured Type 8 chapel(s)
10,2,0.39,site_default,low,0,,median of all measured chapels
11,1,0.17,report_type,med,0,,Type 1 as defined in the report
12,1,0.17,report_type,med,0,,Type 1 as defined in the report
13,1,0.17,report_type,med,0,,Type 1 as defined in the report
14,1,0.17,report_type,med,0,,Type 1 as defined in the report
15,1,0.17,report_type,med,0,,Type 1 as defined in the report
16,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
17,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
18,1,0.17,report_type,med,0,,Type 1 as defined in the report
19,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
20,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
21,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
22,1,0.17,report_type,med,0,,Type 1 as defined in the report
23,8,0.39,cad,high,669,0.11,Building23.dxf
24,8,0.405,type_cad,low,0,,median of 2 measured Type 8 chapel(s)
25,8,0.42,cad,high,547,0.03,Building25.dxf
26,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
27,1,0.17,report_type,med,0,,Type 1 as defined in the report
28,1,0.17,report_type,med,0,,Type 1 as defined in the report
29,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
30,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
31,2,0.39,site_default,low,0,,median of all measured chapels
32,1,0.17,report_type,med,0,,Type 1 as defined in the report
33,1,0.17,report_type,med,0,,Type 1 as defined in the report
34,1,0.17,report_type,med,0,,Type 1 as defined in the report
35,1,0.17,report_type,med,0,,Type 1 as defined in the report
36,1,0.17,report_type,med,0,,Type 1 as defined in the report
37,5,0.39,site_default,low,0,,median of all measured chapels
38,1,0.17,report_type,med,0,,Type 1 as defined in the report
39,,0.39,site_default,low,0,,median of all measured chapels
40,1,0.17,report_type,med,0,,Type 1 as defined in the report
41,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
42,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
43,1,0.17,report_type,med,0,,Type 1 as defined in the report
44,1,0.17,report_type,med,0,,Type 1 as defined in the report
45,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
46,,0.39,site_default,low,0,,median of all measured chapels
47,1,0.17,report_type,med,0,,Type 1 as defined in the report
48,,0.39,site_default,low,0,,median of all measured chapels
49,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
50,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
51,1,0.17,report_type,med,0,,Type 1 as defined in the report
52,5,0.39,site_default,low,0,,median of all measured chapels
53,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
54,,0.39,site_default,low,0,,median of all measured chapels
55,1,0.17,report_type,med,0,,Type 1 as defined in the report
56,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
57,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
58,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
59,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
60,1,0.17,report_type,med,0,,Type 1 as defined in the report
61,1,0.17,report_type,med,0,,Type 1 as defined in the report
62,5,0.39,site_default,low,0,,median of all measured chapels
63,1,0.17,report_type,med,0,,Type 1 as defined in the report
64,1,0.17,report_type,med,0,,Type 1 as defined in the report
65,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
66,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
67,1,0.17,report_type,med,0,,Type 1 as defined in the report
68,1,0.17,report_type,med,0,,Type 1 as defined in the report
69,7,0.39,site_default,low,0,,median of all measured chapels
70,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
71,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
72,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
73,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
74,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
75,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
76,1,0.17,report_type,med,0,,Type 1 as defined in the report
77,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
78,7,0.39,site_default,low,0,,median of all measured chapels
79,1,0.17,report_type,med,0,,Type 1 as defined in the report
80,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
81,4,0.315,type_cad,low,0,,median of 2 measured Type 4 chapel(s)
