ID,ap_id,kind,wall,s_m,width_m,sill_m,head_m,wall_az,source_pos,source_dims,confidence,notes
1,1,door,1,1.9,0.86,0.0,2.1,185.4,report,default,med,"stated entrance S -> wall 1 (outward 185 deg, 5 deg off); report p.93"
2,1,door,1,2.01,0.86,0.0,2.1,181.1,report,default,med,"stated entrance S -> wall 1 (outward 181 deg, 1 deg off); report p.93"
3,1,door,0,1.78,0.86,0.0,2.1,186.1,report,default,med,"stated entrance S -> wall 0 (outward 186 deg, 6 deg off); report p.94"
4,1,door,0,1.84,0.86,0.0,2.1,212.6,report,default,low,"stated entrance S -> wall 0 (outward 213 deg, 33 deg off); report p.94"
5,1,door,0,1.63,0.86,0.0,2.1,188.0,report,default,med,"stated entrance S -> wall 0 (outward 188 deg, 8 deg off); report p.94"
6,1,door,0,3.18,0.86,0.0,2.1,182.4,xlsx,default,med,"stated entrance S -> wall 0 (outward 182 deg, 2 deg off); from the excavation spreadsheet"
7,1,door,0,2.04,0.86,0.0,2.1,203.5,report,default,med,"stated entrance S -> wall 0 (outward 204 deg, 23 deg off); report p.105"
8,1,door,0,1.98,0.86,0.0,2.1,203.1,xlsx,default,med,"stated entrance S -> wall 0 (outward 203 deg, 23 deg off); from the excavation spreadsheet"
9,1,door,0,4.09,0.86,0.0,2.1,188.6,report,default,med,"stated entrance S -> wall 0 (outward 189 deg, 9 deg off); report p.106"
18,1,door,1,2.36,0.86,0.0,2.1,99.9,report,default,med,"stated entrance E -> wall 1 (outward 100 deg, 10 deg off); report p.112"
19,1,door,1,2.57,0.86,0.0,2.1,90.6,report,default,med,"stated entrance E -> wall 1 (outward 91 deg, 1 deg off); report p.101"
20,1,door,0,2.49,0.86,0.0,2.1,189.4,report,default,med,"stated entrance S -> wall 0 (outward 189 deg, 9 deg off); report p.101"
21,1,door,0,2.69,0.86,0.0,2.1,183.4,report,default,med,"stated entrance S -> wall 0 (outward 183 deg, 3 deg off); report p.114"
23,1,door,2,3.08,0.86,0.0,2.1,3.4,cad,cad,high,"threshold mark measured off the site CAD LW2 layer, 0.19 m from the wall line; height still default"
24,1,door,7,1.87,0.79,0.0,2.1,268.9,cad,cad,high,"threshold mark measured off the site CAD LW2 layer, 0.43 m from the wall line; height still default"
25,1,door,0,0.59,1.09,0.0,2.1,266.7,cad,cad,high,"threshold mark measured off the site CAD LW2 layer, 0.11 m from the wall line; height still default"
26,1,door,3,1.97,0.86,0.0,2.1,286.3,report,default,med,"stated entrance W -> wall 3 (outward 286 deg, 16 deg off); report p.107"
27,1,door,3,4.17,0.86,0.0,2.1,286.3,report,default,med,"stated entrance W -> wall 3 (outward 286 deg, 16 deg off); report p.107"
28,1,door,3,1.35,0.86,0.0,2.1,272.9,report,default,med,"stated entrance W -> wall 3 (outward 273 deg, 3 deg off); report p.107"
29,1,door,1,1.7,0.86,0.0,2.1,184.3,report,default,med,"stated entrance S -> wall 1 (outward 184 deg, 4 deg off); report p.120"
30,1,door,0,1.85,0.86,0.0,2.1,181.2,report,default,med,"stated entrance S -> wall 0 (outward 181 deg, 1 deg off); report p.39"
31,1,door,3,0.75,0.86,0.0,2.1,185.0,report,default,low,"stated entrance S -> wall 3 (outward 185 deg, 5 deg off); report p.120"
32,1,door,3,1.73,0.86,0.0,2.1,271.1,report,default,med,"stated entrance W -> wall 3 (outward 271 deg, 1 deg off); report p.120"
33,1,door,1,1.53,0.86,0.0,2.1,176.8,report,default,med,"stated entrance S -> wall 1 (outward 177 deg, 3 deg off); report p.120"
34,1,door,1,1.62,0.86,0.0,2.1,91.2,report,default,med,"stated entrance E -> wall 1 (outward 91 deg, 1 deg off); report p.120"
35,1,door,1,2.21,0.86,0.0,2.1,180.9,report,default,med,"stated entrance S -> wall 1 (outward 181 deg, 1 deg off); report p.121"
36,1,door,3,2.0,0.86,0.0,2.1,275.9,report,default,med,"stated entrance W -> wall 3 (outward 276 deg, 6 deg off); report p.121"
37,1,door,5,2.45,0.86,0.0,2.1,285.0,report,default,med,"stated entrance W -> wall 5 (outward 285 deg, 15 deg off); report p.121"
38,1,door,5,2.22,0.86,0.0,2.1,276.5,report,default,low,"stated entrance W -> wall 5 (outward 276 deg, 6 deg off); report p.121"
40,1,door,3,2.14,0.86,0.0,2.1,271.4,report,default,med,"stated entrance W -> wall 3 (outward 271 deg, 1 deg off); report p.121"
41,1,door,3,2.33,0.86,0.0,2.1,276.3,report,default,med,"stated entrance W -> wall 3 (outward 276 deg, 6 deg off); report p.122"
42,1,door,3,0.45,0.86,0.0,2.1,175.8,report,default,low,"stated entrance S -> wall 3 (outward 176 deg, 4 deg off); report p.122"
44,1,door,1,2.83,0.86,0.0,2.1,158.4,report,default,med,"stated entrance S -> wall 1 (outward 158 deg, 22 deg off); report p.122"
45,1,door,1,3.18,0.86,0.0,2.1,90.0,report,default,med,"stated entrance E -> wall 1 (outward 90 deg, 0 deg off); report p.122"
46,1,door,2,2.1,0.86,0.0,2.1,91.2,report,default,med,"stated entrance E -> wall 2 (outward 91 deg, 1 deg off); report p.111"
47,1,door,0,3.18,0.86,0.0,2.1,186.4,report,default,med,"stated entrance S -> wall 0 (outward 186 deg, 6 deg off); report p.111"
49,1,door,1,2.81,0.86,0.0,2.1,88.9,report,default,med,"stated entrance E -> wall 1 (outward 89 deg, 1 deg off); report p.124"
50,1,door,3,2.49,0.86,0.0,2.1,271.9,report,default,med,"stated entrance W -> wall 3 (outward 272 deg, 2 deg off); report p.124"
51,1,door,0,1.89,0.86,0.0,2.1,181.6,report,default,med,"stated entrance S -> wall 0 (outward 182 deg, 2 deg off); report p.125"
52,1,door,3,3.03,0.86,0.0,2.1,280.8,report,default,med,"stated entrance W -> wall 3 (outward 281 deg, 11 deg off); report p.125"
53,1,door,0,3.72,0.86,0.0,2.1,179.4,report,default,med,"stated entrance S -> wall 0 (outward 179 deg, 1 deg off); report p.125"
54,1,door,0,2.41,0.86,0.0,2.1,269.0,report,default,med,"stated entrance W -> wall 0 (outward 269 deg, 1 deg off); report p.126"
56,1,door,2,2.65,0.86,0.0,2.1,80.4,report,default,med,"stated entrance E -> wall 2 (outward 80 deg, 10 deg off); report p.126"
57,1,door,0,2.22,0.86,0.0,2.1,186.8,report,default,med,"stated entrance S -> wall 0 (outward 187 deg, 7 deg off); report p.115"
58,1,door,1,2.63,0.86,0.0,2.1,110.1,report,default,med,"stated entrance E -> wall 1 (outward 110 deg, 20 deg off); report p.115"
59,1,door,1,2.01,0.86,0.0,2.1,103.1,report,default,med,"stated entrance E -> wall 1 (outward 103 deg, 13 deg off); report p.115"
61,1,door,1,2.23,0.86,0.0,2.1,88.7,report,default,med,"stated entrance E -> wall 1 (outward 89 deg, 1 deg off); report p.116"
62,1,door,0,2.87,0.86,0.0,2.1,193.6,report,default,med,"stated entrance S -> wall 0 (outward 194 deg, 14 deg off); report p.116"
