domes,variant,eye_height_m,observer,visible_ground_cells,visible_cells,baseline_visible,agreement_ground_pct,agreement_vs_baseline_pct,jaccard_vs_baseline
False,bare,1.5,1,4749,5324,5263,99.83,99.75,0.976
False,bare,1.5,2,4440,5280,5279,99.61,99.57,0.958
False,bare,1.5,3,3466,3929,3899,99.7,99.68,0.959
False,bare,1.75,1,5180,5779,5714,99.71,99.66,0.97
False,bare,1.75,2,4710,5592,5623,99.54,99.5,0.955
False,bare,1.75,3,3907,4396,4343,99.68,99.66,0.96
False,doorless,1.5,1,4735,5239,5263,99.77,98.96,0.903
False,doorless,1.5,2,4394,5187,5279,99.49,98.64,0.874
False,doorless,1.5,3,3463,3715,3899,99.67,99.14,0.889
False,doorless,1.75,1,5158,5686,5714,99.65,98.81,0.898
False,doorless,1.75,2,4657,5509,5623,99.39,98.5,0.87
False,doorless,1.75,3,3891,4174,4343,99.66,99.08,0.894
False,apertured,1.5,1,4735,5239,5263,99.77,98.96,0.903
False,apertured,1.5,2,4394,5187,5279,99.49,98.64,0.874
False,apertured,1.5,3,3463,3723,3899,99.67,99.12,0.888
False,apertured,1.75,1,5158,5686,5714,99.65,98.81,0.898
False,apertured,1.75,2,4657,5509,5623,99.39,98.5,0.87
False,apertured,1.75,3,3891,4180,4343,99.66,99.07,0.893
True,bare,1.5,1,4749,5304,5263,99.83,99.74,0.974
True,bare,1.5,2,4440,5206,5279,99.61,99.43,0.945
True,bare,1.5,3,3466,3920,3899,99.7,99.67,0.957
True,bare,1.75,1,5180,5754,5714,99.71,99.62,0.966
True,bare,1.75,2,4710,5513,5623,99.54,99.37,0.943
True,bare,1.75,3,3907,4381,4343,99.68,99.64,0.958
True,doorless,1.5,1,4735,5222,5263,99.77,98.99,0.905
True,doorless,1.5,2,4394,5160,5279,99.49,98.63,0.873
True,doorless,1.5,3,3463,3704,3899,99.67,99.16,0.892
True,doorless,1.75,1,5158,5668,5714,99.65,98.83,0.899
True,doorless,1.75,2,4657,5473,5623,99.39,98.51,0.87
True,doorless,1.75,3,3891,4160,4343,99.66,99.11,0.897
True,apertured,1.5,1,4735,5222,5263,99.77,98.99,0.905
True,apertured,1.5,2,4394,5160,5279,99.49,98.63,0.873
True,apertured,1.5,3,3463,3712,3899,99.67,99.14,0.89
True,apertured,1.75,1,5158,5668,5714,99.65,98.83,0.899
True,apertured,1.75,2,4657,5473,5623,99.39,98.51,0.87
True,apertured,1.75,3,3891,4166,4343,99.66,99.1,0.896
